name,pledge_class,parent1,parent2
Juliana,2016,Emmery,Valenka
Corine,2016,Malva,Sibley
Catherin,2016,Alayne,Ryun
Barney,2016,Ingemar,Vonni
Karlie,2016,Haslett,Arvy
Grazia,2016,Eveleen,Alford
Ephrayim,2016,Wadsworth,Theodosia
Noach,2016,Jemimah,Ryun
Harriott,2016,Abbey,Katie
Zelda,2016,Herold,Jewell
Jay,2016,Theodosia,Billi
Nikki,2016,Emmery,Brita
Gwenora,2016,Debora,Brita
Franny,2016,Elena,Herold
Stern,2016,Alford,Luelle
Anastassia,2017,Theodosia,Luelle
Genevra,2017,Camella,Nikita
Bellanca,2017,Juliana,Ryun
Byrom,2017,Jay,Suzi
Geoffrey,2017,Catherin,Gwenora
Felic,2017,Gertie,Taite
Hugibert,2017,Karlie,Marsh
Christiano,2017,Malva,Barney
Benedicta,2017,Jake,Luelle
Alasdair,2017,Clement,Hamlin
Alisander,2017,Mabel,Tessy
Odelinda,2017,Ephrayim,Rriocard
Ashla,2017,Elaina,Farrell
Tamiko,2017,Jay,Taite
Dwight,2017,Kliment,Issy
Isidro,2017,Tallie,Camella
Kerwinn,2017,Wit,Jewell
Robbin,2017,Trevar,Juliana
Ambros,2017,Valenka,Ingemar
Brody,2017,Farrell,Tallie
Derrik,2017,Suzi,Hortense
Mechelle,2017,Van,Malva
Freddy,2018,Rosemaria,Barney
Nicolais,2018,Sibley,Kristo
Eloisa,2018,Ephrayim,Jay
Jeddy,2018,Hugibert,Noach
Tanitansy,2018,Catherin,Issy
Edd,2018,Dwight,Franny
Ki,2018,Waly,Karlie
Osgood,2018,Rosemaria,Benedicta
Kelbee,2018,Catherin,Juliana
Gannon,2018,Kimmy,Stern
Carlin,2018,Nerte,Kliment
Reinald,2018,Isidro,Waly
Cathe,2018,Geoffrey,Ario
Bronny,2018,Billi,Juliana
Tandi,2018,Jay,Nikki
Donni,2018,Rickert,Valenka
Burnaby,2018,Isidro,Juliana
Judith,2018,Corine,Gwenora
Cecilius,2018,Corine,Gwenora
Avie,2019,Ashla,Zelda
Farrah,2019,Alisander,Derrik
Davidde,2019,Genevra,Mechelle
Vanni,2019,Geoffrey,Jake
Anetta,2019,Sanders,Cecilius
Almeta,2019,Bronny,Kelbee
Tasia,2019,Nerte,Derrik
Devi,2019,Catherin,Anastassia
Jordain,2019,Byrom,Robbin
Lucilia,2019,Felic,Gertie
Barron,2019,Ashla,Cal
Cleopatra,2019,Kerwinn,Kimmy
Sam,2019,Ephrayim,Wadsworth
Sarita,2019,Kimmy,Grazia
Felicio,2019,Isidro,Nicolais
Hailey,2019,Leicester,Derrik
Warren,2019,Byrom,Tamiko
Des,2019,Kerwinn,Kelbee
Sherilyn,2019,Robbin,Donni
Jenn,2019,Zelda,Alasdair
Joey,2019,Alasdair,Ephrayim
Allsun,2019,Geoffrey,Gwenora
Thaddus,2019,Dwight,Corine
Maribel,2019,Dwight,Mechelle
Allyson,2019,Alasdair,Wadsworth
